# Exact normal-mode score scale stored by IriSu Syndrome v2.03 EN.
# Wine-GDB dump immediately after executable 0x4157be (fstp QWORD [0x436a30]).
level	binary64_bits	decimal
1	0x4010000000000000	4
2	0x4019fdf8bcce533d	6.4980191708498838
3	0x402142e81c889914	8.6306771198983725
4	0x40251cb453b9536c	10.556063286183154
5	0x4028ae6d3fc447a1	12.340677254400193
6	0x402c0a88fb9717f1	14.02057634562877
7	0x402f3c7995604382	15.618115108490887
8	0x403125fbee250664	17.14837540058069
9	0x40329f4504b4e7e6	18.622146886984318
10	0x40340c28430012e7	20.047489345090892
11	0x40356e3d8cca85af	21.430626677936456
12	0x4036c6c846ab7ca7	22.776493470065045
13	0x403816ce65cfe3c4	24.089086879019092
14	0x40395f27eaf32c5b	25.371702846878502
15	0x403aa089a39ba854	26.627100205900504
16	0x403bdb8cdadbe120	27.857618025475972
17	0x403d10b4fc1eec63	29.065261609601645
18	0x403e4073cb226e4f	30.251766868501644
19	0x403f6b2c9b687921	31.418649399763243
20	0x4040489b672a7d8d	32.567242522952348
21	0x4040d96fe46af637	33.698727180697851
22	0x40416836416e33c9	34.814155749139509
23	0x4041f50d649383d7	35.914471218136605
24	0x4042801121978c6c	37.00052280330496
25	0x4043095aa530dce5	38.073078774317572
26	0x40439100ce4040ad	39.132837087033614
27	0x404417187852199d	40.180434265220562
28	0x40449bb4ba4f8b2f	41.216452874030772
29	0x40451ee71b998f87	42.241427850704945
30	0x4045a0bfc14cad7d	43.255851900520589
31	0x4046214d950e908d	44.260180122481962
32	0x4046a09e667f3bcd	45.254833995939045
33	0x40471ebf08304cb3	46.240204833587448
34	0x40479bbb68d9ad8b	47.21665678623966
35	0x4048179ea9613a93	48.184529468989375
36	0x4048927330300a96	49.144140265901271
37	0x40490c42ba3aa4fc	50.095786360392566
38	0x404985166a103ec4	51.039746530468193
39	0x4049fcf6d5373157	51.976282741498544
40	0x404a73ec101190a5	52.905641563965482
41	0x404ae9fdb87b85fe	53.828055439294971
42	0x404b5f32ff4d7a6a	54.743743813353674
43	0x404bd392b0e5d159	55.652914154258447
44	0x404c47233cd8bb74	56.555762868715561
45	0x404cb9eabce04d70	57.452476129076672
46	0x404d2beefb235f59	58.343230621597009
47	0x404d9d3577e6a580	59.22819422494922
48	0x404e0dc36eb8dad9	60.107526626835984
49	0x404e7d9ddb28a02c	60.981379885517839
50	0x404eecc97d10d2cc	61.849898942198337
51	0x404f5b4adc868348	62.713222089462363
52	0x404fc9264d72541e	63.57148140032244
53	0x40501b2ff96eed30	64.424803121878313
54	0x4050517de0fe4a4c	65.273308037119193
55	0x4050877ec27b956a	66.117111797988088
56	0x4050bd346ebf7347	66.956325232470689
57	0x4050f2a0a397535a	67.791054628161334
58	0x405127c50cdeffc1	68.621401994488238
59	0x40515ca3458559de	69.447465305543545
60	0x4051913cd87e217c	70.269338725256546
61	0x4051c59341a2723e	71.087112816466259
62	0x4051f9a7ee817706	71.900874735289193
63	0x40522d7c3f22ac1c	72.710708412036581
64	0x4052611186bae675	73.516694719810246
65	0x405294690c5537fa	74.31891163179526
66	0x4052c7840b70ada3	75.117434368169185
67	0x4052fa63b493cc19	75.91233553345991
68	0x40532d092dd69a27	76.703685245106143
69	0x40535f759363f51e	77.491551253905044
70	0x405391a9f7f2da08	78.275999056968544
71	0x4053c3a765383f5a	79.057092003754775
72	0x4053f56edc520cf8	79.834891395690533
73	0x40542701562bb3e1	80.609456579855319
74	0x4054585fc3dcdbf0	81.380845037157769
75	0x4054898b0f0293cb	82.149112465397749
76	0x4054ba841a136649	82.914312857575297
77	0x4054eb4bc0aeb020	83.676498575776805
78	0x40551be2d7e7898a	84.435720420942886
79	0x40554c4a2e8b907e	85.192027698796636
80	0x40557c828d65da56	85.945468282190035
81	0x4055ac8cb77e4ddf	86.696088670104913
82	0x4055dc696a55a1f6	87.443934043527264
83	0x40560c195e1e3824	88.189048318396601
84	0x40563b9d45f20673	88.931474195816733
85	0x40566af5d005bfed	89.671253209700538
86	0x40569a23a5d967b3	90.408425772008556
87	0x4056c9276c667751	91.143031215729266
88	0x4056f801c44bbe14	91.875107835738447
89	0x405726b349f71c7d	92.60469292766534
90	0x4057553c95cd3c54	93.331822824883886
91	0x4057839e3c4f63b2	94.056532933739419
92	0x4057b1d8ce3f7f32	94.778857767113351
93	0x4057dfecd8c27d8f	95.498830976421445
94	0x40580ddae5811544	96.21648538213509
95	0x40583ba37ac70ade	96.931853002908127
96	0x405869471ba10d87	97.644965083387532
97	0x405896c647f93da4	98.355852120780185
98	0x4058c4217cb27030	99.064543890243613
99	0x4058f15933c24051	99.771069469164345
